brand;link;image;name;dimensions;os;storage
acer;https://www.gsmarena.com/acer_chromebook_tab_10-9139.php;https://fdn2.gsmarena.com/vv/bigpic/acer-chromebook-tab-10.jpg;Acer Chromebook Tab 10;544.3g, 9.9mm thickness;Chrome OS;32GB storage, microSDXC
acer;https://www.gsmarena.com/acer_iconia_talk_s-8306.php;https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg;Acer Iconia Talk S;260g, 9.4mm thickness;Android 6.0;16GB/32GB storage, microSDXC
acer;https://www.gsmarena.com/acer_liquid_z6_plus-8305.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg;Acer Liquid Z6 Plus;169g, 8.5mm thickness;Android 6.0;32GB storage, microSDXC
acer;https://www.gsmarena.com/acer_liquid_z6-8304.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg;Acer Liquid Z6;126g, 8.5mm thickness;Android 6.0;8GB storage, microSDXC
acer;https://www.gsmarena.com/acer_iconia_tab_10_a3_a40-8080.php;https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg;Acer Iconia Tab 10 A3-A40;8.9mm thickness;Android 6.0;16GB/32GB/64GB storage, microSDXC
acer;https://www.gsmarena.com/acer_liquid_x2-8034.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg;Acer Liquid X2;166g, 8.5mm thickness;Android 5.1;32GB storage, microSDHC
acer;https://www.gsmarena.com/acer_liquid_e3-6116.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-new.jpg;Acer Liquid E3;134g, 9mm thickness;Android 4.2.2;4GB 1GB RAM storage, microSDHC slot
acer;https://www.gsmarena.com/acer_liquid_z4-6115.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z4.jpg;Acer Liquid Z4;122g, 9.7mm thickness;Android 4.2.2;4GB 512MB RAM storage, microSDXC slot
acer;https://www.gsmarena.com/acer_iconia_b1_721-5933.php;https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-721.jpg;Acer Iconia B1-721;323g, 11.4mm thickness;Android 4.2;16GB storage, microSDHC
acer;https://www.gsmarena.com/acer_iconia_b1_720-5932.php;https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-b1-720.jpg;Acer Iconia B1-720;315g, 10.2mm thickness;Android 4.2;8GB/16GB storage, microSDHC
acer;https://www.gsmarena.com/acer_iconia_a1_830-5930.php;https://fdn2.gsmarena.com/vv/bigpic/Acer-Iconia-A1-830.jpg;Acer Iconia A1-830;380g, 8.2mm thickness;Android 4.2;16GB storage, microSDHC
acer;https://www.gsmarena.com/acer_liquid_z5-5929.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg;Acer Liquid Z5;150g, 8.8mm thickness;Android 4.2;4GB 512MB RAM storage, microSDHC slot
acer;https://www.gsmarena.com/acer_betouch_t500-3587.php;https://fdn2.gsmarena.com/vv/bigpic/acer-betouch-t500.jpg;Acer beTouch T500;130g, 13.5mm thickness;Android-based OPhone 1.5;256MB RAM storage, microSDHC slot
acer;https://www.gsmarena.com/acer_liquid_mt-3519.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-metal-ofic.jpg;Acer Liquid mt;135g, 13.5mm thickness;Android 2.2;512MB RAM storage, microSDHC slot
acer;https://www.gsmarena.com/acer_betouch_e130-3373.php;https://fdn2.gsmarena.com/vv/bigpic/acer-130-ofic.jpg;Acer beTouch E130;109g, 11.5mm thickness;Android 1.6;256MB RAM storage, microSDHC slot
acer;https://www.gsmarena.com/acer_betouch_e120-3406.php;https://fdn2.gsmarena.com/vv/bigpic/acer-e120.jpg;Acer beTouch E120;105g, 13.2mm thickness;Android 1.6;256MB RAM storage, microSDHC slot
acer;https://www.gsmarena.com/acer_stream-3358.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-stream-ofic.jpg;Acer Stream;140g, 11.2mm thickness;Android 2.1;2GB 512MB RAM storage, microSDHC slot
acer;https://www.gsmarena.com/acer_liquid_e-3156.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e-new.jpg;Acer Liquid E;135g, 12.5mm thickness;Android 2.1, up to Android 2.2;512MB RAM storage, microSDHC slot
at&t;https://www.gsmarena.com/at&t_quickfire-2598.php;https://fdn2.gsmarena.com/vv/bigpic/quickfire.jpg;AT&T Quickfire;136g, 18mm thickness;Feature phone;29MB storage, microSD slot
at&t;https://www.gsmarena.com/at&t_smt5700-2603.php;https://fdn2.gsmarena.com/vv/bigpic/att-5700.jpg;AT&T SMT5700;14mm thickness;Microsoft Windows Mobile 5.0 PocketPC;microSD slot
at&t;https://www.gsmarena.com/at&t_mustang-2602.php;https://fdn2.gsmarena.com/vv/bigpic/att-mustang.jpg;AT&T Mustang;110g, 19.9mm thickness;Windows Mobile 6 Standard;64MB RAM storage, microSD slot
at&t;https://www.gsmarena.com/at&t_8525-2601.php;https://fdn2.gsmarena.com/vv/bigpic/att-8525.jpg;AT&T 8525;176g, 22mm thickness;Microsoft Windows Mobile 6 Professional;64MB RAM storage, microSDHC slot
bosch;https://www.gsmarena.com/bosch_909_dual_s-183.php;https://fdn2.gsmarena.com/vv/bigpic/boc909sb.gif;Bosch 909 Dual S;109g, 17mm thickness;Feature phone;No card slot
bosch;https://www.gsmarena.com/bosch_909_dual-142.php;https://fdn2.gsmarena.com/vv/bigpic/boc909b.gif;Bosch 909 Dual;99g, 17mm thickness;Feature phone;No card slot
bosch;https://www.gsmarena.com/bosch_com_908-141.php;https://fdn2.gsmarena.com/vv/bigpic/boc908b.gif;Bosch Com 908;99g, 17mm thickness;Feature phone;No card slot
bosch;https://www.gsmarena.com/bosch_com_509-140.php;https://fdn2.gsmarena.com/vv/bigpic/boc509b.gif;Bosch Com 509;150g, 23mm thickness;Feature phone;No card slot
bosch;https://www.gsmarena.com/bosch_world_718-139.php;https://fdn2.gsmarena.com/vv/bigpic/bow718b.gif;Bosch World 718;189g, 18mm thickness;Feature phone;No card slot
bosch;https://www.gsmarena.com/bosch_com_738-138.php;https://fdn2.gsmarena.com/vv/bigpic/boc738b.gif;Bosch Com 738;189g, 18mm thickness;Feature phone;No card slot
emporia;https://www.gsmarena.com/emporia_glam-6264.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaGLAM.jpg;Emporia Glam;17mm thickness;Feature phone;8MB 4MB RAM storage, microSD slot
emporia;https://www.gsmarena.com/emporia_flip_basic-6263.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-flip-f210.jpg;Emporia Flip Basic;82g, 17mm thickness;Feature phone;16MB 32MB RAM storage, no card slot
emporia;https://www.gsmarena.com/emporia_eco-6262.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-eco-c160.jpg;Emporia Eco;70g, 12.5mm thickness;Feature phone;16MB 32MB RAM storage, no card slot
emporia;https://www.gsmarena.com/emporia_click_plus-6261.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-click-plus.jpg;Emporia Click Plus;110g, 18.5mm thickness;Feature phone;20MB 64MB RAM storage, no card slot
emporia;https://www.gsmarena.com/emporia_essence_plus-6260.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-essence.jpg;Emporia Essence Plus;74g, 12mm thickness;Feature phone;0.3MB 2MB RAM storage, no card slot
emporia;https://www.gsmarena.com/emporia_solid_plus-6231.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaSOLIDplus.jpg;Emporia Solid Plus;142g, 18mm thickness;Feature phone;0.5MB 4MB RAM storage, no card slot
gionee;https://www.gsmarena.com/gionee_s12_lite-10477.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-s12-lite.jpg;Gionee S12 Lite;174g, 8.4mm thickness;Android 10;32GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_s12-10534.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-s12.jpg;Gionee S12;181g, 8.8mm thickness;Android 10;64GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_m30-10392.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-m30.jpg;Gionee M30;305 g;Android;128GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_max-10391.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-max.jpg;Gionee Max;185g, 10.8mm thickness;Android 10;32GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_k3_pro-10389.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-k3-pro.jpg;Gionee K3 Pro;205g, 9.7mm thickness;Android 9.0;128GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_k6-10270.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-k6.jpg;Gionee K6;192g, 10.2mm thickness;Android 7.1;128GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_marathon_m5_lite-7803.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-marathon-m5-lite.jpg;Gionee Marathon M5 lite;183g, 8.5mm thickness;Android 5.1, Amigo 3.1;32GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_pioneer_p5w-7800.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-p5w-.jpg;Gionee Pioneer P5W;153g, 8.9mm thickness;Android 5.1;16GB storage, microSDHC
gionee;https://www.gsmarena.com/gionee_s6-7754.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-s6.jpg;Gionee S6;147g, 6.9mm thickness;Android 5.1.1, Amigo 3.1;32GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_elife_s_plus-7732.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-s-plus-.jpg;Gionee Elife S Plus;158g, 7.5mm thickness;Android 5.1.1, Amigo OS 3.1;16GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_f103-7653.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-f103.jpg;Gionee F103;136.6g, 8mm thickness;Android 5, Amigo 3;16GB storage, microSDHC
gionee;https://www.gsmarena.com/gionee_elife_e8-7254.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-e8-new1.jpg;Gionee Elife E8;210g, 9.6mm thickness;Android 5.1, Amigo 3.1;64GB storage, microSDXC
gionee;https://www.gsmarena.com/gionee_ctrl_v2-6094.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v2.jpg;Gionee Ctrl V2;10.8mm thickness;Android 4.0;4GB 512MB RAM storage, microSDHC slot
gionee;https://www.gsmarena.com/gionee_ctrl_v3-6095.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v3.jpg;Gionee Ctrl V3;9.8mm thickness;Android 4.0;4GB 512MB RAM storage, microSDHC slot
gionee;https://www.gsmarena.com/gionee_ctrl_v4s-6822.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v4s.jpg;Gionee Ctrl V4s;7.8mm thickness;Android 4.4.2;8GB storage, microSDHC
gionee;https://www.gsmarena.com/gionee_ctrl_v4-6096.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v4.jpg;Gionee Ctrl V4;9.7mm thickness;Android 4.2;4GB 512MB RAM storage, microSDHC slot
gionee;https://www.gsmarena.com/gionee_dream_d1-6097.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-dream-d1.jpg;Gionee Dream D1;8.6mm thickness;Android 4.1;4GB 1GB RAM storage, microSDHC slot
i_mobile;https://www.gsmarena.com/i_mobile_i858-3327.php;https://fdn2.gsmarena.com/vv/bigpic/i858.jpg;i-mobile i858;12.8mm thickness;Android 2.0;microSDHC slot
i_mobile;https://www.gsmarena.com/i_mobile_8500-3328.php;https://fdn2.gsmarena.com/vv/bigpic/8500.jpg;i-mobile 8500;14.9mm thickness;Android OS;256MB 128MB RAM storage, microSDHC slot
i_mobile;https://www.gsmarena.com/i_mobile_5230-3329.php;https://fdn2.gsmarena.com/vv/bigpic/5230.jpg;i-mobile 5230;14.4mm thickness;Feature phone;48MB storage, microSD slot
i_mobile;https://www.gsmarena.com/i_mobile_hitz_2206-3331.php;https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz-2206.jpg;i-mobile Hitz 2206;13.4mm thickness;Feature phone;microSD slot
i_mobile;https://www.gsmarena.com/i_mobile_5220-3330.php;https://fdn2.gsmarena.com/vv/bigpic/5220.jpg;i-mobile 5220;13mm thickness;Feature phone;microSD slot
i_mobile;https://www.gsmarena.com/i_mobile_tv658_touch&move-2974.php;https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz658.jpg;i-mobile TV658 Touch&Move;13mm thickness;Feature phone;microSD slot
kyocera;https://www.gsmarena.com/kyocera_duraforce_pro_2-9407.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro2.jpg;Kyocera DuraForce Pro 2;243g, 13.5mm thickness;Android 8.0;64GB storage, microSDXC
kyocera;https://www.gsmarena.com/kyocera_duraforce_pro-8268.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro.jpg;Kyocera DuraForce Pro;230g, 12.9mm thickness;Android 6.0;32GB storage, microSDXC
kyocera;https://www.gsmarena.com/kyocera_duraforce_xd-7699.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-xd.jpg;Kyocera DuraForce XD;307g, 13.9mm thickness;Android 5.1;16GB storage, microSDXC
kyocera;https://www.gsmarena.com/kyocera_duraforce-6829.php;https://fdn2.gsmarena.com/vv/bigpic/Kyocera-DuraForce2.jpg;Kyocera DuraForce;200g, 14mm thickness;Android 4.4.2;16GB storage, microSDHC
kyocera;https://www.gsmarena.com/kyocera_hydro_life-6598.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-life.jpg;Kyocera Hydro Life;136g, 10.9mm thickness;Android 4.3;8GB storage, microSDHC
kyocera;https://www.gsmarena.com/kyocera_brigadier-6602.php;https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Brigadier.jpg;Kyocera Brigadier;187.1g, 13.2mm thickness;Android 4.4.2;16GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_in_note_1-10569.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note1.jpg;Micromax In note 1;;Android 10;64GB/128GB storage, microSDXC
micromax;https://www.gsmarena.com/micromax_in_1b-10568.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-in-1b-.jpg;Micromax In 1b;;Android;32GB/64GB storage, microSDXC
micromax;https://www.gsmarena.com/micromax_infinity_n12-9515.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg;Micromax Infinity N12;164g, 8.5mm thickness;Android 8.1;32GB storage, microSDXC
micromax;https://www.gsmarena.com/micromax_infinity_n11-9516.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg;Micromax Infinity N11;164g, 8.5mm thickness;Android 8.1;32GB storage, microSDXC
micromax;https://www.gsmarena.com/micromax_bharat_5_infinity-9517.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-infinity-edition-q4204.jpg;Micromax Bharat 5 Infinity;10.4mm thickness;Android 8.1 Oreo;16GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_bharat_go-9207.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg;Micromax Bharat Go;130g, 9.6mm thickness;Android 8.0 Oreo;8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_canvas_spark_3_q385-8258.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-spark-3-q385.jpg;Micromax Canvas Spark 3 Q385;~ 175g, 9.1mm thickness;Android 5.1;8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_canvas_amaze_2_e457-8257.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-amaze-2-e457.jpg;Micromax Canvas Amaze 2 E457;;Android 5.0.2;16GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_canvas_xp_4g_q413-8225.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-q413.jpg;Micromax Canvas xp 4G Q413;134g, 8.7mm thickness;Android 5.1;16GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_bolt_supreme_2_q301-8224.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-q301.jpg;Micromax Bolt Supreme 2 Q301;;Android 5.1;4GB 512MB RAM storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_bolt_supreme_q300-8226.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-q300.jpg;Micromax Bolt Supreme Q300;222g, 9mm thickness;Android 5.1;4GB 512MB RAM storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_canvas_evok_e483-8223.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-evok-e483.jpg;Micromax Canvas Evok E483;;Android 5.1;16GB storage, microSDXC
micromax;https://www.gsmarena.com/micromax_canvas_selfie_3_q348-7667.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie-3-q348.jpg;Micromax Canvas Selfie 3 Q348;110g, 7.8mm thickness;Android 5.0;8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_canvas_selfie_2_q340-7666.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie2-q340.jpg;Micromax Canvas Selfie 2 Q340;136g, 9mm thickness;Android 5.0;8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_canvas_xpress_2_e313-7452.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-xpress2-e313.jpg;Micromax Canvas Xpress 2 E313;135g, 9.3mm thickness;Android 4.4.2;8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_bolt_d303-7432.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-d303.jpg;Micromax Bolt D303;;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_bolt_s301-7402.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-s301.jpg;Micromax Bolt S301;;Android 4.4.2, up to 5.0;4GB 512MB RAM storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_canvas_selfie_lens_q345-7401.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie-lens-plus-q345.jpg;Micromax Canvas Selfie Lens Q345;144g, 8.1mm thickness;Android 5.0;8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_a093_canvas_fire-6500.php;https://fdn2.gsmarena.com/vv/bigpic/Micromax-Canvas-Fire-A093.jpg;Micromax A093 Canvas Fire;;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_a300_canvas_gold-6452.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a300.jpg;Micromax A300 Canvas Gold;6.9mm thickness;Android 4.4.2;32GB storage, no card slot
micromax;https://www.gsmarena.com/micromax_canvas_win_w121-6444.php;https://fdn2.gsmarena.com/vv/bigpic/MicroMax-Canvas-Win-W121.jpg;Micromax Canvas Win W121;;Microsoft Windows Phone 8.1;8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_canvas_win_w092-6445.php;https://fdn2.gsmarena.com/vv/bigpic/MicroMax-Canvas-Win-W091.jpg;Micromax Canvas Win W092;;Microsoft Windows Phone 8.1;8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_a089_bolt-6418.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a089.jpg;Micromax A089 Bolt;;Android 4.2.2;4GB 512MB RAM storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_a106_unite_2-6382.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a106-unite-2.jpg;Micromax A106 Unite 2;158g, 9.4mm thickness;Android 4.4.2, up to 5.0;4GB/8GB storage, microSDHC
micromax;https://www.gsmarena.com/micromax_x321-5480.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x321.jpg;Micromax X321;98.6g, 8.9mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x295-5477.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x295.jpg;Micromax X295;10.8mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x286-5476.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x286.jpg;Micromax X286;14.5mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x278-5475.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x278.jpg;Micromax X278;15.8mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x099-5474.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x099.jpg;Micromax X099;14.8mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_gc333-5473.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-gc333.jpg;Micromax GC333;;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x276-4888.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x276.jpg;Micromax X276;13.5mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x246-4887.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x246.jpg;Micromax X246;104g, 15.6mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x234+-4886.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x234.jpg;Micromax X234+;14.5mm thickness;Feature phone;microSD slot
micromax;https://www.gsmarena.com/micromax_a56-4874.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a56.jpg;Micromax A56;110g, 11.5mm thickness;Android 2.3.5;256MB RAM storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_a52-4825.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a52.jpg;Micromax A52;112g, 13.2mm thickness;Android 2.3;160MB storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_a45-4824.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a45.jpg;Micromax A45;120g, 13mm thickness;Android 2.3;180MB storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_x266-3864.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-X266.jpg;Micromax X266;95g, 11.5mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x265-3873.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x265.jpg;Micromax X265;95g, 14.7mm thickness;Feature phone;microSD slot
micromax;https://www.gsmarena.com/micromax_m2-3866.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-M2.jpg;Micromax M2;79g, 10.8mm thickness;Feature phone;2GB storage, no card slot
micromax;https://www.gsmarena.com/micromax_q66-3863.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-Q66.jpg;Micromax Q66;118g, 18mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x370-3868.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-X370.jpg;Micromax X370;10.9mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x226+-3870.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-X226-plus.jpg;Micromax X226+;95g, 14.5mm thickness;Feature phone;microSD slot
micromax;https://www.gsmarena.com/micromax_x225-3321.php;https://fdn2.gsmarena.com/vv/bigpic/x225.jpg;Micromax X225;65 g;Feature phone;microSDHC slot
